nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,ghgf
[0, 8, 24, 63.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 8, 25, 61.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 8, 26, 60.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 8, 27, 58.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 8, 28, 57.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 8, 29, 55.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 8, 30, 54.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 8, 31, 52.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 8, 32, 51.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 8, 33, 49.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 8, 34, 48.0, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 8, 35, 46.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 8, 36, 45.0, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 8, 37, 43.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 8, 38, 42.0, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 8, 39, 40.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 8, 40, 38.5, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 8, 41, 36.0, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 8, 42, 33.5, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 8, 43, 31.0, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 8, 44, 28.5, 90.7146157431864, 94.70395779819081, -1, 8, 1, 1, 0, 0, 0, 0]
[0, 8, 45, 26.0, 82.71763746124408, 91.22282484984174, -1, 8, 1, 2, 0, 0, 0, 0]
[0, 8, 46, 23.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 8, 47, 21.0, 82.71763746124408, 91.22282484984174, -20, 8, 1, 2, 0, 0, 0, 0]
[0, 8, 48, 18.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 8, 49, 16.0, 82.71763746124408, 91.22282484984174, -20, 8, 1, 2, 0, 0, 0, 0]
[0, 8, 50, 13.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 8, 51, 11.0, 82.71763746124408, 91.22282484984174, -20, 8, 1, 2, 0, 0, 0, 0]
[0, 8, 52, 8.5, 90.7146157431864, 94.70395779819081, -20, 8, 1, 1, 0, 0, 0, 0]
[0, 9, 1, 97.5, 99, 99, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 9, 2, 96.0, 99, 99, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 9, 3, 94.5, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 9, 4, 93.0, 86.00570406708773, 86.00570406708773, -1, 35, 0, 1, 1, 0, 0, 0]
